Input1,Input2,Input3,Input4,Input5,Input6,Input7,Input8,Input9,Input10,Input11,Input12,Original Input3,Original Input12,Average Input
3.551,0.9546,0.9308388984069972,4.773,0.896,1.597,0.4541,0.293,0.9009,5.131,2.551,0.674,5.602,5.449,1.8922032415339167
3.469,0.9216,0.9501912957979187,4.797,0.8008,1.525,0.553,0.1819,0.7971,5.052,2.368,0.0,5.625,4.686,1.78463260798316
3.7,0.8252,0.8509050830966676,4.753,0.7324,1.417,0.4541,0.3491,0.9131,5.063,2.406,0.588,5.507,5.352,1.8376504235913889
3.531,1.016,0.739839150244421,5.055,0.7434,1.464,0.4358,0.3552,0.7971,5.072,2.489,0.889,5.375,5.692,1.8822782625203685
1.361,1.914,-1.205497491834326,2.565,0.1831,0.1062,0.2576,0.1672,0.08545,0.9448,0.9509,0.89,3.063,5.693,0.6849793756804728
1.39,1.924,-1.3460127250640626,2.423,0.2185,0.188,0.1111,0.07935,0.1892,0.9216,0.9912,0.844,2.896,5.641,0.6611614395779948
1.404,1.907,-1.2980524358778651,2.278,0.1953,0.07202,0.2625,0.1013,0.2808,1.023,0.9277,0.314,2.953,5.042,0.6222972970101779
1.473,1.816,-1.0792862045022273,2.388,0.3198,0.3784,0.06958,-0.002441,0.1953,0.9155,1.039,0.718,3.213,5.499,0.6859043996248143
1.306,1.687,-1.0616166242757337,2.6,0.2698,0.188,0.02808,0.07324,0.3699,0.8936,1.044,0.158,3.234,4.865,0.6296669479770223
1.553,1.808,-1.1718411485457663,2.679,0.1697,0.1526,0.271,0.1453,0.1904,0.918,0.9277,0.473,3.103,5.222,0.6763215709545194
